filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	9d80cd17-f6cd-4a0d-8963-1a8a34e1616f	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	469	35.602749	2.360000	1888	TRUE	35.632751	1864	2.330000	877	10.356240	0.000000	83.721916	9.494232
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	491bcdcf-d5fd-4504-b8c4-1de7bff5ff49	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	64	133.953995	2.955500	2364	TRUE	134.236496	2138	2.673000	1329	8.465943	0.000000	84.239784	9.148987
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	547d51ff-de3e-4380-9565-a4c0854a06d3	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	433	70.874001	1.188500	950	TRUE	70.947746	891	1.114750	454	10.261517	0.000000	90.281570	8.458504
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	ae1a5110-d296-444f-9a1c-7fa913d2e394	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	377	42.755249	1.674250	1339	TRUE	43.102749	1061	1.326750	474	11.110405	0.000000	88.382721	9.839485
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	3390155b-30f8-4490-a115-936ea0e29518	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	212	112.000000	1.509750	1207	FALSE	112.183746	1060	1.326000	523	4.663650	0.000000	77.507500	9.666855
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	01a77e96-0adf-40fe-9006-1baac15d573e	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	427	18.016750	3.316500	2653	TRUE	18.030500	2642	3.302750	1285	11.211981	0.000000	85.793381	10.357346
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	804d2a97-a2c2-4d05-a993-b07229bdf855	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	196	45.783249	0.904000	723	TRUE	45.845749	673	0.841500	344	7.254164	0.000000	85.620758	11.565712
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	4b7e493f-01ba-435f-a010-60d60b2822d7	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	86	109.614502	1.584500	1267	TRUE	109.779503	1135	1.419500	580	9.605513	0.000000	81.995689	9.494240
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	510e3209-8b6a-449f-8312-cefb39e9f5c2	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	133	85.686996	3.201750	2561	TRUE	85.720749	2534	3.168000	1190	11.268731	0.000000	86.311249	9.321609
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	f1800b38-d828-43d4-9918-45509d69488d	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	262	126.382500	2.840250	2272	TRUE	126.408752	2251	2.814000	1073	10.017506	0.000000	85.620758	9.839485
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	355ab457-57f5-4e02-a6e4-6c15231ff9a4	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	286	8.559250	1.349000	1079	TRUE	8.580500	1062	1.327750	430	11.346077	0.000000	84.412407	10.012108
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	3e757e25-30fd-48bc-8dea-f00a0b579e26	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	325	125.402748	6.286750	5029	TRUE	125.461502	4982	6.228000	2109	9.300807	0.000000	86.138626	10.875221
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	1388c7f7-94fa-431d-8fb1-64e9644152f4	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	284	44.638248	2.049000	1639	TRUE	44.696999	1592	1.990250	631	9.779761	0.000000	90.799438	8.631119
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	d2619983-a410-42df-92c3-cd9a5461fdee	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	508	133.950256	1.975500	1580	TRUE	133.997757	1542	1.928000	763	10.491792	0.000000	83.894539	10.529976
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	b707e3f5-5c45-49e3-84dd-d70188fa29ec	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	448	121.077499	11.552250	9241	TRUE	121.151253	9182	11.478500	4781	10.940321	0.000000	82.168312	10.184723
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	b6a3ed63-5d52-4789-b96b-59d1c3f810a5	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	453	120.323753	8.573250	6858	TRUE	120.355003	6833	8.542000	3237	10.797138	0.000000	80.269463	11.047844
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	b49552b6-2fc4-4067-96ce-812a7c6e58be	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	380	9.877500	11.455250	9164	TRUE	9.968750	9091	11.364000	4181	11.007086	0.000000	86.829117	10.357353
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	3ebeee90-20c4-4f39-bfbc-1c43f8c90302	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	420	40.186249	1.222750	978	TRUE	40.342499	853	1.066500	399	7.512402	0.000000	82.168312	10.702591
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	2c348e5b-525b-4146-a5c5-4717904726d8	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	75	90.070000	2.016500	1613	TRUE	90.087502	1599	1.999000	845	9.231913	0.000000	88.382721	9.321617
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	44f62409-1351-47d8-bf9f-894b2b65c115	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	359	14.440500	6.892500	5514	TRUE	14.478000	5484	6.855000	2951	11.306420	0.000000	84.239784	10.529968
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	af4344d1-7cd2-452e-ac29-2e890d2bf789	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	412	83.809502	4.715500	3772	TRUE	83.891998	3706	4.633000	1753	10.122336	0.000000	85.275513	10.184731
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	64befbef-5f5a-4b60-ab25-d755e5f45e0f	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	309	90.749252	6.975500	5580	TRUE	90.848000	5501	6.876750	2729	10.593660	0.000000	85.448135	10.875214
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	860aea9a-b465-4d9d-b202-30ef4a4e94f1	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	41	93.643997	1.306000	1044	TRUE	93.770248	943	1.179750	456	11.646444	0.000000	88.727966	10.184731
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	589f79eb-1265-4263-aa3e-a4f5a1567c5a	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	439	111.974998	9.519500	7615	TRUE	112.017502	7581	9.477000	3522	12.219622	0.000000	81.823067	10.012108
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	266a1c17-4646-4224-9160-cd03cbbc8d79	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	321	69.081497	1.255250	1004	TRUE	69.135246	961	1.201500	490	10.078524	0.000000	96.323357	9.666862
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	a29aa945-2621-4b9f-b7b2-fdeda41e82f2	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	204	40.822250	1.193250	954	TRUE	40.902248	890	1.113250	388	7.381282	0.000000	85.448135	9.494232
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	61a2b47d-1c1f-4429-9994-266bfc2ecc57	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	6	111.692749	1.058250	846	TRUE	111.719002	825	1.032000	442	10.788837	0.000000	87.001740	9.666855
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	06a64fde-6327-4cd4-9df0-313db9f7777a	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	414	86.478249	1.333750	1067	TRUE	86.586998	980	1.225000	501	9.107645	0.000000	84.239784	9.839485
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	1e8cee54-64aa-434f-af39-d2a0b76fc6e1	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	285	118.205002	1.884000	1507	TRUE	118.591248	1198	1.497750	598	11.547131	0.000000	85.620758	10.012100
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	49cd5c25-ba98-45f9-83f6-b8e4f365c7f6	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	154	42.175499	2.736250	2189	TRUE	42.306751	2084	2.605000	1017	10.487579	0.000000	92.353035	10.012100
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	90919f37-d453-4b80-83df-1f24e680ff4c	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	344	45.082500	1.052500	842	TRUE	45.162498	778	0.972500	391	11.036182	0.000000	85.102890	10.012100
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	067ccb63-71b8-4a28-b411-27184e8d4abb	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	31	119.350250	1.108750	887	TRUE	119.454002	804	1.005000	425	10.787195	0.000000	84.239784	9.666855
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	2b322703-3d09-4b83-bb08-64badf547089	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	147	117.787498	8.571250	6857	TRUE	117.863747	6796	8.495000	3532	11.806282	0.000000	88.382721	10.184731
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	eea070b6-5a16-46eb-bbd1-42164c646a5e	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	15	129.397507	5.031000	4024	TRUE	129.554993	3898	4.873500	1943	10.945332	0.000000	86.311249	9.666862
